Episode,Total_Reward,Mean_Reward,Episode_Length
86,-184.91770857758968,-30.819618096264946,500
87,-189.39270453000404,-31.565450755000672,500
88,-210.47784174648513,-35.07964029108086,500
89,-233.87809746765114,-38.97968291127519,500
90,-180.747856529785,-30.124642754964167,500
91,-208.22923772550467,-34.70487295425078,500
92,-203.08898446658102,-33.848164077763506,500
93,-197.60418135314728,-32.934030225524545,500
94,-175.74421344280694,-29.290702240467823,500
95,-227.99417980369338,-37.99902996728223,500
96,-202.8246589124625,-33.80410981874375,500
97,-231.56745533453056,-38.594575889088425,500
98,-192.1348432028339,-32.022473867138984,500
99,-245.9427101009586,-40.9904516834931,500
100,-182.58107255717812,-30.430178759529685,500
101,-231.2361542408639,-38.539359040143985,500
102,-222.42712857359965,-37.07118809559994,500
103,-217.84940680224054,-36.30823446704009,500
104,-199.81614835467184,-33.302691392445304,500
105,-187.2694214888018,-31.211570248133636,500
106,-34.62132896903468,-5.770221494839113,500
107,-174.348135528939,-29.0580225881565,500
108,-192.5397275324648,-32.089954588744135,500
109,-213.84710009959645,-35.64118334993274,500
110,-202.44724031850006,-33.74120671975001,500
111,-193.0298701186659,-32.17164501977765,500
112,-202.20451500332769,-33.700752500554614,500
113,-184.78723753947298,-30.797872923245496,500
114,-175.02995929593376,-29.17165988265563,500
115,-201.2508360124641,-33.54180600207735,500
116,-192.09237996103232,-32.01539666017205,500
117,-192.71163877775447,-32.11860646295908,500
118,-216.92758349243405,-36.15459724873901,500
119,-192.36920142526162,-32.06153357087694,500
120,-201.11649320289376,-33.519415533815625,500
121,-206.39167504387203,-34.398612507312,500
122,-179.44695126348827,-29.90782521058138,500
123,67.55222985456983,11.258704975761638,500
124,-195.11014120829026,-32.51835686804838,500
125,-192.18575401789593,-32.030959002982655,500
126,-183.94570961795708,-30.657618269659512,500
127,-192.2201405548842,-32.036690092480704,500
128,-177.9294625264365,-29.654910421072753,500
129,-202.62505061193676,-33.770841768656126,500
130,-222.4003344367062,-37.0667224061177,500
131,-217.72903234854675,-36.28817205809113,500
132,-198.17034516956284,-33.028390861593806,500
133,-184.81643404512684,-30.80273900752114,500
134,-179.97282094454357,-29.995470157423927,500
135,-221.3476453760723,-36.891274229345385,500
136,-200.0873071662374,-33.347884527706235,500
137,-187.944974235781,-31.324162372630166,500
138,-169.31838939742676,-28.219731566237794,500
139,-196.45949270494359,-32.74324878415727,500
140,-193.80500318869693,-32.300833864782824,500
141,-202.39456852577896,-33.73242808762983,500
142,-211.94722777785216,-35.32453796297536,500
143,-211.21396800702007,-35.20232800117001,500
144,-205.17707767116397,-34.196179611860664,500
145,-230.29294651992382,-38.382157753320634,500
146,-201.9549168129422,-33.65915280215703,500
147,-212.33136349275048,-35.38856058212508,500
148,-222.21482035399265,-37.035803392332106,500
149,-183.73065607754117,-30.62177601292353,500
150,-220.20911250470226,-36.70151875078371,500
151,-210.435058689868,-35.07250978164466,500
152,-203.06121863735223,-33.843536439558704,500
153,-211.33145029949472,-35.22190838324912,500
154,-194.52632662471868,-32.421054437453115,500
155,-221.2211306810481,-36.87018844684135,500
156,-257.2937205852629,-42.882286764210484,500
