Episode,Total_Reward,Mean_Reward,Episode_Length,Duration_Sec
70,-231.59106659083662,-38.59851109847277,500,5.6290998458862305
71,-180.81707708365502,-30.136179513942505,500,2.7910845279693604
72,-182.55829273622294,-30.426382122703824,500,2.8368043899536133
73,-216.14126245849184,-36.02354374308197,500,2.7883098125457764
74,-162.63557623733254,-27.105929372888756,500,5.635205030441284
75,-169.74881660796336,-28.29146943466056,500,2.8249101638793945
76,-158.9462356861601,-26.491039281026683,500,2.857645273208618
77,-153.89396613048757,-25.64899435508126,500,2.852443218231201
78,-199.58798118605682,-33.26466353100947,500,5.591731071472168
79,-189.78439483114357,-31.63073247185726,500,2.8150999546051025
80,-164.74809718222605,-27.458016197037676,500,2.8454718589782715
81,-186.74884010048942,-31.124806683414903,500,2.810173511505127
82,-178.9446846211208,-29.824114103520134,500,6.317302942276001
83,-182.30554063402042,-30.384256772336737,500,3.2406201362609863
84,-186.19302307485486,-31.032170512475812,500,2.986414670944214
85,-179.6068457573183,-29.93447429288638,500,3.1520113945007324
86,-36.995902800934346,-6.165983800155725,500,2.782592296600342
87,-192.56420848935068,-32.09403474822511,500,6.654615163803101
88,-180.40281178896657,-30.067135298161094,500,3.1752686500549316
89,-153.8395178486203,-25.639919641436716,500,3.13438081741333
90,-182.10772484603,-30.351287474338335,500,3.0872082710266113
91,-152.51562026283864,-25.41927004380644,500,5.602107048034668
92,-196.2413229348382,-32.70688715580636,500,2.747511148452759
93,4.407756132821987,0.7346260221369979,500,2.8120834827423096
94,-169.85050547924595,-28.308417579874327,500,2.7540552616119385
95,-139.04425042853973,-23.174041738089954,500,5.59553074836731
96,-174.23375186497947,-29.038958644163245,500,2.7087321281433105
97,-183.57239987276125,-30.59539997879354,500,2.721034288406372
98,-164.78674307471556,-27.46445717911926,500,2.702481985092163
99,-185.236033776971,-30.872672296161834,500,5.557458162307739
100,-171.97777009883998,-28.662961683139997,500,2.7174229621887207
101,-151.8493740906399,-25.30822901510665,500,12.94284963607788
102,-127.99105510287359,-21.3318425171456,500,2.752317190170288
103,-166.22682435783554,-27.704470726305924,500,5.536093235015869
104,-164.45802280690532,-27.409670467817552,500,2.6906347274780273
105,-192.1514328913688,-32.025238815228136,500,2.6866614818573
106,-184.2785566547027,-30.71309277578378,500,2.6734001636505127
107,-199.20240358271076,-33.20040059711846,500,5.530848503112793
108,-165.5292835325654,-27.58821392209423,500,2.720090866088867
109,-199.59914827976536,-33.266524713294224,500,2.714381694793701
110,-88.5038135497266,-14.7506355916211,500,2.712155818939209
111,-194.60735411573842,-32.434559019289736,500,5.527995347976685
112,-223.0576062413851,-37.17626770689751,500,2.692894697189331
113,-177.1478414105136,-29.5246402350856,500,2.6998159885406494
114,-195.84996668002714,-32.641661113337854,500,2.709646224975586
115,-176.32938686700618,-29.38823114450103,500,5.529822826385498
116,-179.73115809144792,-29.95519301524132,500,2.6995291709899902
117,-193.3664360697743,-32.22773934496238,500,2.6983890533447266
118,-153.9704774267775,-25.66174623779625,500,2.741144895553589
119,-153.7870770352269,-25.63117950587115,500,5.451038360595703
120,-171.0334981490514,-28.5055830248419,500,2.6959900856018066
121,-168.4879536822673,-28.081325613711215,500,2.696125030517578
122,-203.26024970171238,-33.87670828361873,500,2.7003540992736816
123,-191.14735335162976,-31.857892225271627,500,5.4255406856536865
124,-189.8850648275211,-31.647510804586847,500,2.7103347778320312
125,-177.6362067650989,-29.606034460849816,500,2.717191457748413
126,-208.35677060076705,-34.72612843346118,500,2.7347984313964844
127,-181.81185225121408,-30.301975375202346,500,5.426520824432373
128,-225.32777247759896,-37.554628746266495,500,2.6921660900115967
129,-210.77598365254653,-35.129330608757755,500,2.7256669998168945
130,-210.2568212326928,-35.04280353878213,500,2.684520721435547
131,-197.7809575895717,-32.96349293159528,500,2.6785078048706055
132,-170.41157268652478,-28.401928781087463,500,5.432525873184204
133,-131.74520373197356,-21.957533955328927,500,2.688218355178833
134,-157.1771404715529,-26.19619007859215,500,2.660686492919922
135,-179.28683871484168,-29.881139785806948,500,2.700900077819824
136,-205.2115292201786,-34.20192153669643,500,5.434267282485962
137,-160.6089032995709,-26.76815054992848,500,2.760648488998413
138,-191.49880348292527,-31.916467247154213,500,2.6825973987579346
139,-200.0473742271754,-33.34122903786257,500,2.6618635654449463
140,-160.49708412277187,-26.749514020461977,500,5.4468114376068115
141,-23.868297031626753,-3.9780495052711253,500,2.7322723865509033
142,-177.49520659993246,-29.582534433322078,500,2.6910758018493652
143,-185.68922762865577,-30.948204604775963,500,2.6881983280181885
144,-170.5043212547539,-28.417386875792317,500,5.505180597305298
145,-178.33705679216837,-29.722842798694728,500,2.7060115337371826
146,-202.48339735856644,-33.747232893094406,500,2.693514585494995
147,-169.56927267741412,-28.261545446235687,500,2.6718943119049072
148,-168.8333272571765,-28.138887876196083,500,5.471564054489136
149,-170.01810463045513,-28.33635077174252,500,2.6990928649902344
150,-179.68995400793938,-29.948325667989895,500,2.698180913925171
